Date:, 200308
Serial number:, 0023
Data Source:, simulation
Circuit type:, rc
Circuit configuration:, parallel
Circuit elements:, [R=50.0 ohm C=0.1 F]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,5.0660591821168896e-18,-1.5915494309189534e-08,1.5915494309189534e-08,-1.5707963264765867
1,71626291.1569279,450041260.2049765,9.874732311396943e-18,-2.22201848680394e-08,2.22201848680394e-08,-1.570796326350493
2,51303255.84896997,322347863.3607233,1.924776926530135e-17,-3.1022386485650445e-08,3.1022386485650445e-08,-1.5707963261744489
3,36746619.40736688,230885819.1488878,3.7517636935098626e-17,-4.331145168145408e-08,4.331145168145408e-08,-1.5707963259286677
4,26320240.607048776,165374949.0636404,7.312915391870165e-17,-6.046865052186201e-08,6.046865052186201e-08,-1.5707963255855235
5,18852212.170408722,118451942.51694426,1.4254291020824115e-16,-8.442242303092264e-08,8.442242303092264e-08,-1.570796325106448
6,13503140.378698722,84842733.2282232,2.7784378954011993e-16,-1.1786513257535494e-07,1.1786513257535494e-07,-1.570796324437594
7,9671798.642975444,60769703.12754277,5.415714557338327e-16,-1.6455568293648092e-07,1.6455568293648092e-07,-1.570796323503783
8,6927550.656129393,43527084.4973345,1.055627848119711e-15,-2.297420127142303e-07,2.297420127142303e-07,-1.5707963222000563
9,4961947.603002898,31176836.274182778,2.0576234990374535e-15,-3.2075095471700887e-07,3.2075095471700887e-07,-1.5707963203798776
10,3554059.0371810608,22330811.523264866,4.010707439494331e-15,-4.478117595315207e-07,4.478117595315207e-07,-1.5707963178386615
11,2545640.673860415,15994732.0793585,7.817646995546086e-15,-6.252058459238079e-07,6.252058459238079e-07,-1.5707963142907797
12,1823348.0008684385,11456433.368931845,1.523811084926115e-14,-8.728720080647892e-07,8.728720080647893e-07,-1.5707963093374564
13,1305996.547906052,8205818.321030567,2.970203468980625e-14,-1.218647502147488e-06,1.2186475021474884e-06,-1.5707963024219467
14,935436.8899026163,5877523.322429887,5.789502868442705e-14,-1.7013969067273367e-06,1.7013969067273376e-06,-1.5707962927669585
15,670018.750350959,4209851.967739973,1.1284864425537086e-13,-2.3753804353763063e-06,2.3753804353763092e-06,-1.5707962792872878
16,479909.5809323878,3015360.8276890917,2.1996390363134443e-13,-3.3163526925776714e-06,3.3163526925776786e-06,-1.5707962604678427
17,343741.43372862396,2159791.1258725356,4.287523276863532e-13,-4.630077362670896e-06,4.630077362670915e-06,-1.5707962341933495
18,246209.24014946254,1546978.2801989533,8.357214773045579e-13,-6.4642148684296685e-06,6.464214868429723e-06,-1.5707961975105993
19,176350.5472047139,1108043.1671097383,1.6289833139728925e-12,-9.024919151917207e-06,9.024919151917354e-06,-1.5707961462965137
20,126313.35639768369,793650.2250184647,3.1752045499185423e-12,-1.2600009027612523e-05,1.2600009027612923e-05,-1.570796074794716
21,90473.57242349294,568462.220939339,6.189089751468656e-12,-1.7591318528563868e-05,1.7591318528564956e-05,-1.570795974968526
22,64802.86440412508,407168.4054871497,1.2063736792237477e-11,-2.4559862369559978e-05,2.4559862369562943e-05,-1.5707958355976492
23,46415.888336127726,291639.62761324603,2.351456373012425e-11,-3.4288893048706885e-05,3.428889304871495e-05,-1.5707956410170356
24,33245.97932270938,208890.64880324394,4.5834447231453446e-11,-4.7871937098581793e-05,4.7871937098603735e-05,-1.5707953693561547
25,23812.86194765587,149620.62431140724,8.934023089361821e-11,-6.683570561214214e-05,6.683570561220185e-05,-1.5707949900807843
26,17056.269831425252,107167.70400010158,1.7414144466088607e-10,-9.331169397783956e-05,9.331169397800206e-05,-1.5707944605610171
27,12216.77348996793,76760.25169330758,3.394354642382909e-10,-0.00013027575834282957,0.00013027575834327176,-1.5707937212797298
