Date:, 200308
Serial number:, 0043
Data Source:, simulation
Circuit type:, rc
Circuit configuration:, parallel
Circuit elements:, [R=180.0 ohm Q=1e-05 [s^(alpha-1)/ohm]                        alpha=0.75]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,0.009645329337098737,-0.023277369856280993,0.025196593528633918,-1.1779679194455335
1,71626291.1569279,450041260.2049765,0.01238923918767038,-0.029896222878365793,0.03236166543987237,-1.177931143537976
2,51303255.84896997,322347863.3607233,0.015914070750744927,-0.038396794736066414,0.04156406493430753,-1.1778839107118833
3,36746619.40736688,230885819.1488878,0.020442291463964257,-0.049313835714970986,0.05338297175336732,-1.1778232482317021
4,26320240.607048776,165374949.0636404,0.02625988470893705,-0.06333392172237419,0.06856214105220525,-1.177745338651002
5,18852212.170408722,118451942.51694426,0.03373457455481414,-0.08133846888441613,0.08805661838189931,-1.1776452800395338
6,13503140.378698722,84842733.2282232,0.04333933812494481,-0.10445887520533345,0.11309268251426227,-1.17751677831551
7,9671798.642975444,60769703.12754277,0.05568277705572767,-0.13414716926385778,0.14524474063505358,-1.1773517525655777
8,6927550.656129393,43527084.4973345,0.07154841007910408,-0.17226646230554987,0.18653393530432225,-1.1771398289224235
9,4961947.603002898,31176836.274182778,0.09194560680226918,-0.22120664779619412,0.23955453583571937,-1.1768676918275942
10,3554059.0371810608,22330811.523264866,0.11817577364186171,-0.28403221811747087,0.30763584707342395,-1.1765182529812783
11,2545640.673860415,15994732.0793585,0.15191862157458547,-0.36467081878673,0.39504945722745427,-1.176069587551966
12,1823348.0008684385,11456433.368931845,0.19534503152924393,-0.4681532758694499,0.5072742562465186,-1.175493573805991
13,1305996.547906052,8205818.321030567,0.251265394164661,-0.6009183276554713,0.6513348868416083,-1.1747541556980687
14,935436.8899026163,5877523.322429887,0.3233256463533688,-0.7711981282155597,0.8362332369339349,-1.17380512762882
15,670018.750350959,4209851.967739973,0.41626802175322924,-0.9895036192137782,1.0734973117672502,-1.172587316135781
16,479909.5809323878,3015360.8276890917,0.5362804736104143,-1.2692317296655125,1.3778773276186522,-1.1710250046897783
17,343741.43372862396,2159791.1258725356,0.6914688489761996,-1.6274183212160014,1.7682249747512273,-1.1690214157049363
18,246209.24014946254,1546978.2801989533,0.8925007061653744,-2.0856604246656976,2.2685980070348273,-1.1664530304836476
19,176350.5472047139,1108043.1671097383,1.1534913106886497,-2.6712259831240024,2.909637512947448,-1.1631624979934312
20,126313.35639768369,793650.2250184647,1.4932336775861639,-3.4183543105553422,3.7302671497320117,-1.1589498669732325
21,90473.57242349294,568462.220939339,1.9369189573372718,-4.369717510091257,4.779757960952693,-1.1535618915765156
22,64802.86440412508,407168.4054871497,2.5185540131910873,-5.57794795380227,6.1201811813612075,-1.1466792425655106
23,46415.888336127726,291639.62761324603,3.2843595343822516,-7.1070158589314545,7.829220393512422,-1.1379016638665675
24,33245.97932270938,208890.64880324394,4.2975140278153505,-9.033026014536492,10.00320877511625,-1.1267315503115487
25,23812.86194765587,149620.62431140724,5.644659965106368,-11.443637442505672,12.760055800708411,-1.112557254172305
26,17056.269831425252,107167.70400010158,7.4445134197162925,-14.434722622733027,16.241366852933794,-1.0946389134560297
27,12216.77348996793,76760.25169330758,9.858507604406402,-18.10201705914661,20.612452396446518,-1.0721020872955809
28,8750.421749906795,54980.52137063906,13.102249401550406,-22.524426787349302,26.057988055087577,-1.0439483523871909
29,6267.602560047386,39380.5083165309,17.45403594922486,-27.73480394650771,32.769844687884216,-1.009097321667397
30,4489.251258218607,28206.797545876623,23.252110412908007,-33.67470475510867,40.92244346318782,-0.9664801913136667
31,3215.4841769777026,20203.482936254746,30.866084296088342,-40.13473357478809,50.63113665416227,-0.9152069608892921
32,2303.1320587069963,14471.005511762072,40.62385602704615,-46.69539874202194,61.89311708245594,-0.8548191190606022
