Date:, 200308
Serial number:, 0021
Data Source:, simulation
Circuit type:, rc
Circuit configuration:, parallel
Circuit elements:, [R=30.0 ohm C=0.1 F]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,8.443431970194817e-18,-1.5915494309189538e-08,1.5915494309189538e-08,-1.57079632626438
1,71626291.1569279,450041260.2049765,1.645788718566157e-17,-2.22201848680394e-08,2.22201848680394e-08,-1.5707963260542237
2,51303255.84896997,322347863.3607233,3.207961544216891e-17,-3.1022386485650445e-08,3.1022386485650445e-08,-1.570796325760817
3,36746619.40736688,230885819.1488878,6.252939489183106e-17,-4.3311451681454084e-08,4.3311451681454084e-08,-1.5707963253511816
4,26320240.607048776,165374949.0636404,1.2188192319783604e-16,-6.0468650521862e-08,6.0468650521862e-08,-1.5707963247792749
5,18852212.170408722,118451942.51694426,2.3757151701373535e-16,-8.442242303092266e-08,8.442242303092266e-08,-1.5707963239808158
6,13503140.378698722,84842733.2282232,4.630729825668665e-16,-1.1786513257535493e-07,1.1786513257535493e-07,-1.5707963228660589
7,9671798.642975444,60769703.12754277,9.02619092889721e-16,-1.645556829364809e-07,1.645556829364809e-07,-1.5707963213097071
8,6927550.656129393,43527084.4973345,1.7593797468661852e-15,-2.297420127142303e-07,2.297420127142303e-07,-1.5707963191368295
9,4961947.603002898,31176836.274182778,3.429372498395756e-15,-3.2075095471700887e-07,3.207509547170089e-07,-1.5707963161031981
10,3554059.0371810608,22330811.523264866,6.684512399157219e-15,-4.478117595315207e-07,4.4781175953152076e-07,-1.5707963118678379
11,2545640.673860415,15994732.0793585,1.3029411659243477e-14,-6.252058459238079e-07,6.25205845923808e-07,-1.5707963059547017
12,1823348.0008684385,11456433.368931845,2.539685141543524e-14,-8.728720080647886e-07,8.72872008064789e-07,-1.570796297699163
13,1305996.547906052,8205818.321030567,4.9503391149677035e-14,-1.2186475021474867e-06,1.2186475021474877e-06,-1.5707962861733131
14,935436.8899026163,5877523.322429887,9.649171447404492e-14,-1.7013969067273333e-06,1.701396906727336e-06,-1.5707962700816664
15,670018.750350959,4209851.967739973,1.8808107375895063e-13,-2.3753804353762965e-06,2.375380435376304e-06,-1.5707962476155488
16,479909.5809323878,3015360.8276890917,3.6660650605223794e-13,-3.3163526925776464e-06,3.3163526925776664e-06,-1.5707962162498068
17,343741.43372862396,2159791.1258725356,7.145872128105777e-13,-4.6300773626708245e-06,4.6300773626708795e-06,-1.5707961724589845
18,246209.24014946254,1546978.2801989533,1.3928691288408886e-12,-6.464214868429477e-06,6.464214868429627e-06,-1.5707961113210678
19,176350.5472047139,1108043.1671097383,2.714972189954663e-12,-9.024919151916681e-06,9.02491915191709e-06,-1.5707960259642582
20,126313.35639768369,793650.2250184647,5.292007583196974e-12,-1.26000090276111e-05,1.2600009027612211e-05,-1.5707959067945958
21,90473.57242349294,568462.220939339,1.0315149585778824e-11,-1.759131852856e-05,1.759131852856302e-05,-1.5707957404176123
22,64802.86440412508,407168.4054871497,2.0106227987053838e-11,-2.4559862369549448e-05,2.4559862369557677e-05,-1.5707955081328175
23,46415.888336127726,291639.62761324603,3.919093955017431e-11,-3.428889304867822e-05,3.428889304870062e-05,-1.570795183831795
24,33245.97932270938,208890.64880324394,7.639074538563123e-11,-4.787193709850377e-05,4.7871937098564724e-05,-1.57079473106366
25,23812.86194765587,149620.62431140724,1.4890038482222403e-10,-6.683570561192984e-05,6.68357056120957e-05,-1.570794098938043
26,17056.269831425252,107167.70400010158,2.9023574109967983e-10,-9.331169397726181e-05,9.331169397771319e-05,-1.5707932164050973
27,12216.77348996793,76760.25169330758,5.657257737236574e-10,-0.0001302757583412573,0.00013027575834248566,-1.5707919842696185
28,8750.421749906795,54980.52137063906,1.1027093005148722e-09,-0.00018188259678768114,0.00018188259679102387,-1.5707902640416702
29,6267.602560047386,39380.5083165309,2.149394384876134e-09,-0.0002539327303473582,0.00025393273035645485,-1.5707878623705513
30,4489.251258218607,28206.797545876623,4.189586701977532e-09,-0.0003545244717107316,0.0003545244717354868,-1.5707845093125052
31,3215.4841769777026,20203.482936254746,8.166317384915626e-09,-0.0004949641618145499,0.0004949641618819171,-1.5707798279894998
32,2303.1320587069963,14471.005511762072,1.5917737086406664e-08,-0.0006910369833365111,0.0006910369835198401,-1.5707732922287772
33,1649.6480740980207,10365.044541189785,3.102675807798561e-08,-0.0009647811883411226,0.0009647811888400231,-1.5707641674219297
34,1181.5817326180995,7424.096981617841,6.047717154417256e-08,-0.0013469651601536279,0.0013469651615113053,-1.5707514279561645
35,846.3231720621134,5317.605319826292,1.1788174147560356e-07,-0.001880545726743171,0.0018805457304378712,-1.5707336419371742
36,606.1898993497572,3808.8034689550664,2.2977438582643106e-07,-0.0026254964334381918,0.0026254964434927223,-1.5707088102466684
37,434.19134227214533,2728.1046622689264,4.478748577524838e-07,-0.00366554846264275,0.0036655484900045333,-1.5706741418449257
38,310.9951549940195,1954.0401884624616,8.72994986369446e-07,-0.005117601863076409,0.00511760193753709,-1.570625740062818
39,222.75429519995564,1399.6065147115055,1.701636568302983e-06,-0.0071448648800045535,0.007144865082637284,-1.5705581646232238
40,159.5506400444829,1002.4862372785938,3.3168196609143364e-06,-0.009975198184805023,0.009975198736237293,-1.5704638201642283
41,114.28020598100309,718.0437111212954,6.465124401850726e-06,-0.013926725755097222,0.01392672725573104,-1.5703321025363652
42,81.85467307069021,514.3080791617493,1.2601779306967026e-05,-0.019443590728159474,0.019443594811891417,-1.5701482069224588
43,58.62946645916402,368.37980222399773,2.4563303193686932e-05,-0.027145874317375453,0.027145885430587966,-1.5698914638237302
44,41.994112349794214,263.8567897042758,4.787860672225821e-05,-0.03789928639574582,0.03789931663853249,-1.5695330159042478
45,30.078825180430957,188.99083243090715,9.332455299420182e-05,-0.05291245486984954,0.05291253717056153,-1.5690325746414249
46,21.54434690031882,135.3671238968633,0.00018190712438170164,-0.07387273273169978,0.07387295669899134,-1.5683338924164019
47,15.43141663868093,96.95845029312662,0.00035457024005617076,-0.10313574298772461,0.10313635247421309,-1.5673584416070014
48,11.052951411260198,69.44774190819994,0.0006911184416581033,-0.14398984549280794,0.14399150408875902,-1.5659965915630092
49,7.916819159263001,49.74284182107913,0.0013470944835154586,-0.20102492343467324,0.20102943691276598,-1.5640952954142642
50,5.670523941381169,35.628952712496236,0.002625636615216987,-0.28064604841129415,0.28065833045984867,-1.5614409126433066
51,4.061585988376979,25.519697406016714,0.005117450084066644,-0.39178733290732665,0.3918207530516975,-1.5577352636788997
52,2.9091634056238775,18.278812766400474,0.009973288324654796,-0.5468996098550786,0.5469905389854963,-1.5525622984378566
53,2.0837258511429577,13.09243565209171,0.0194337416851989,-0.7633050374785169,0.7635523888745075,-1.5453418317940568
54,1.4924955450518291,9.377626079700642,0.03785685585273161,-1.0650223162201315,1.0656949261312774,-1.5352656872598172
55,1.0690192046030011,6.716845759454385,0.07370207828286086,-1.4851364759316272,1.4869641382648828,-1.5212105381707803
56,0.7656988080124189,4.811027500228553,0.14332542765755527,-2.0686277218275495,2.073586947713227,-1.501621606593553
57,0.5484416576121004,3.4459605649535665,0.2781079074767866,-2.8750466459002855,2.8884662408107866,-1.4743647345096877
58,0.39282841850712547,2.468213747406564,0.5373579107426804,-3.978942547718259,4.015063800524271,-1.4365580696556037
59,0.28136842678706836,1.767889965092743,1.0299045007723664,-5.4622734957579535,5.558519139408534,-1.3844354974238822
60,0.20153376859417352,1.2662740137314419,1.9441322617226262,-7.385412486828888,7.637013018954387,-1.3133962970306097
61,0.14435116387279176,0.9069851119197979,3.5698994903205463,-9.71353706631243,10.348767303868437,-1.218601319050209
62,0.10339338492393974,0.6496397970136615,6.252231535048898,-12.185095275934737,13.695508243634732,-1.096719881859439
63,0.07405684692262442,0.4653128924802815,10.174165464007066,-14.202511081890338,17.47068870766725,-0.9491721325729604
64,0.05304417279843926,0.3332863671586486,15.002113626753765,-14.999999851086065,21.214697942761592,-0.7853277091720897
65,0.03799357365039398,0.23872066372740092,19.829623902967263,-14.20122293874324,24.39034065135249,-0.6214907833489467
66,0.027213387683753087,0.1709867576531393,23.75055755318821,-12.183092485421788,26.69300894608261,-0.473961988815362
67,0.019491940296028503,0.12247147287642801,26.431872810003124,-9.711451181770478,28.15947769934829,-0.35210376957784206
68,0.013961353908567902,0.08772177374664814,28.05689225432094,-7.383601063102878,29.01218308968886,-0.2573306604703625
69,0.01,0.06283185307179587,28.970655912840655,-5.460839987127475,29.480835764700085,-0.1863095240711648
