freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	cycle number	
3.1603944E+000	3.0207632E+008	3.9763072E+008	4.9935987E+008	-5.2776405E+001	1.000000000000000E+000
2.5108454E+000	3.6883245E+008	4.4875725E+008	5.8087904E+008	-5.0583302E+001	1.000000000000000E+000
1.9955261E+000	4.4617133E+008	5.0659389E+008	6.7506016E+008	-4.8628731E+001	1.000000000000000E+000
1.5840454E+000	5.4333632E+008	5.6017050E+008	7.8038797E+008	-4.5873989E+001	1.000000000000000E+000
1.2595726E+000	6.5853536E+008	5.9051898E+008	8.8452333E+008	-4.1883076E+001	1.000000000000000E+000
1.0004489E+000	7.7896563E+008	6.1214080E+008	9.9070874E+008	-3.8161610E+001	1.000000000000000E+000
1.0000193E+006	2.6833736E+004	4.4535266E+004	5.1994609E+004	-5.8929867E+001	2.000000000000000E+000
7.9432600E+005	3.4828172E+004	4.5517555E+004	5.7313605E+004	-5.2578262E+001	2.000000000000000E+000
6.3095688E+005	4.1863809E+004	4.6294828E+004	6.2416262E+004	-4.7877373E+001	2.000000000000000E+000
5.0119131E+005	4.8407035E+004	4.6821984E+004	6.7346414E+004	-4.4046421E+001	2.000000000000000E+000
3.9810538E+005	5.4371883E+004	4.8007105E+004	7.2532641E+004	-4.1442570E+001	2.000000000000000E+000
3.1623041E+005	5.9730340E+004	4.9996914E+004	7.7893547E+004	-3.9930809E+001	2.000000000000000E+000
2.5119134E+005	6.4628504E+004	5.2915059E+004	8.3527523E+004	-3.9309151E+001	2.000000000000000E+000
1.9952144E+005	6.9837641E+004	5.6607906E+004	8.9898563E+004	-3.9026993E+001	2.000000000000000E+000
1.5848630E+005	7.4874773E+004	6.1818719E+004	9.7096781E+004	-3.9544041E+001	2.000000000000000E+000
1.2588864E+005	8.0175992E+004	6.8623547E+004	1.0553379E+005	-4.0560596E+001	2.000000000000000E+000
1.0001951E+005	8.5659695E+004	7.7190789E+004	1.1530829E+005	-4.2023060E+001	2.000000000000000E+000
7.9433578E+004	9.1189773E+004	8.7828758E+004	1.2660752E+005	-4.3924416E+001	2.000000000000000E+000
6.3095688E+004	9.7436531E+004	1.0122786E+005	1.4050252E+005	-4.6093307E+001	2.000000000000000E+000
5.0117172E+004	1.0400013E+005	1.1750736E+005	1.5692038E+005	-4.8489502E+001	2.000000000000000E+000
3.9814441E+004	1.1123645E+005	1.3761978E+005	1.7695409E+005	-5.1051800E+001	2.000000000000000E+000
3.1621082E+004	1.1882918E+005	1.6214044E+005	2.0102213E+005	-5.3763126E+001	2.000000000000000E+000
2.5117180E+004	1.2758220E+005	1.9284814E+005	2.3123067E+005	-5.6512642E+001	2.000000000000000E+000
1.9951164E+004	1.3546602E+005	2.3039936E+005	2.6727309E+005	-5.9546101E+001	2.000000000000000E+000
1.5849604E+004	1.4514350E+005	2.7749975E+005	3.1316569E+005	-6.2388630E+001	2.000000000000000E+000
1.2587890E+004	1.5469984E+005	3.3557041E+005	3.6951256E+005	-6.5250031E+001	2.000000000000000E+000
1.0019525E+004	1.7194125E+005	4.5713191E+005	4.8839878E+005	-6.9387192E+001	2.000000000000000E+000
8.0808101E+003	1.9296728E+005	5.4935888E+005	5.8226413E+005	-7.0645714E+001	2.000000000000000E+000
6.4205449E+003	2.2093006E+005	6.6816544E+005	7.0374369E+005	-7.1703445E+001	2.000000000000000E+000
5.0116030E+003	2.5775780E+005	8.2303869E+005	8.6245681E+005	-7.2610580E+001	2.000000000000000E+000
3.9812698E+003	3.0256103E+005	1.0062939E+006	1.0507953E+006	-7.3265617E+001	2.000000000000000E+000
3.1630396E+003	3.5468547E+005	1.2216711E+006	1.2721171E+006	-7.3810501E+001	2.000000000000000E+000
2.5124102E+003	4.1582388E+005	1.4813876E+006	1.5386419E+006	-7.4320625E+001	2.000000000000000E+000
1.9956379E+003	4.8339088E+005	1.7999223E+006	1.8637025E+006	-7.4967239E+001	2.000000000000000E+000
1.5844926E+003	5.5972688E+005	2.1893268E+006	2.2597448E+006	-7.5658859E+001	2.000000000000000E+000
1.2587904E+003	6.4529094E+005	2.6700293E+006	2.7468995E+006	-7.6413322E+001	2.000000000000000E+000
9.9968164E+002	1.5085744E+006	4.0133813E+006	4.2875430E+006	-6.9399452E+001	2.000000000000000E+000
7.9423932E+002	1.8189068E+006	4.7248260E+006	5.0628455E+006	-6.8944893E+001	2.000000000000000E+000
