Date:, 200308
Serial number:, 0025
Data Source:, simulation
Circuit type:, -Rs-(RQ)-(RQ)-
Circuit elements: , [Rs=150 ohm R1=110.52631578947368 ohm Q1=0.001                         [s^(alpha-1)/ohm] alpha_1=0.875 R2=100 ohm Q2=0.001                         [s^(alpha-1)/ohm] alpha_2=0.85]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,150.00077977416132,-0.003250901017245846,150.00077980938897,-2.167256078022638e-05
1,71626291.1569279,450041260.2049765,150.0010356033494,-0.004317297105427823,150.00103566547915,-2.8781781984839073e-05
2,51303255.84896997,322347863.3607233,150.0013753844037,-0.00573349700129987,150.00137549397934,-3.822296284827134e-05
3,36746619.40736688,230885819.1488878,150.00182668103025,-0.0076142384026931425,150.00182687428332,-5.0760971147001746e-05
4,26320240.607048776,165374949.0636404,150.00242611777918,-0.010111888374267856,150.00242645860797,-6.74114987381004e-05
5,18852212.170408722,118451942.51694426,150.00322236686387,-0.01342878012678979,150.00322296795807,-8.952327742714966e-05
6,13503140.378698722,84842733.2282232,150.00428012587227,-0.01783359119710477,150.00428118596528,-0.0001188872150722577
7,9671798.642975444,60769703.12754277,150.00568541989534,-0.023683084478784495,150.00568728945277,-0.00015788124440558498
8,6927550.656129393,43527084.4973345,150.00755267746894,-0.031450963737780294,150.00755597451328,-0.00020966253175637447
9,4961947.603002898,31176836.274182778,150.01003418853136,-0.0417661640064377,150.0100400028505,-0.00027842246122497137
10,3554059.0371810608,22330811.523264866,150.01333277216563,-0.05546364807922028,150.0133430253081,-0.00036972477397211826
11,2545640.673860415,15994732.0793585,150.0177187887377,-0.07365176947743461,150.01773686854477,-0.0004909537630257426
12,1823348.0008684385,11456433.368931845,150.02355306535577,-0.09780156168633226,150.02358494416498,-0.0006519079560062602
13,1305996.547906052,8205818.321030567,150.03131792744773,-0.12986501392665556,150.0313741321086,-0.0008655858209294087
14,935436.8899026163,5877523.322429887,150.0416594403837,-0.17243160696146995,150.04175852169678,-0.0011492243667091534
15,670018.750350959,4209851.967739973,150.05544531968786,-0.22893524108338656,150.05561995951516,-0.0015256698146953616
16,479909.5809323878,3015360.8276890917,150.07384501990074,-0.3039273398636754,150.0741527741706,-0.0020251824981074736
17,343741.43372862396,2159791.1258725356,150.09844167612,-0.4034365004535863,150.09898385601915,-0.002687806245236603
18,246209.24014946254,1546978.2801989533,150.13139053526612,-0.5354406763253132,150.13234535159455,-0.0035664653754545906
19,176350.5472047139,1108043.1671097383,150.1756464145968,-0.7104844604571011,150.17732706440927,-0.004730987857656508
20,126313.35639768369,793650.2250184647,150.23529544797262,-0.9424811578556554,150.23825168402533,-0.006273284793117726
21,90473.57242349294,568462.220939339,150.31604702393327,-1.2497457604953812,150.32124220271461,-0.008313929153756205
22,64802.86440412508,407168.4054871497,150.4259753933855,-1.656307731171376,150.43509373929928,-0.011010337784168845
23,46415.888336127726,291639.62761324603,150.57665478721913,-2.1935452417158445,150.59263131918777,-0.014566601284795994
24,33245.97932270938,208890.64880324394,150.78491868762111,-2.9021517217098145,150.81284490469747,-0.01924458668351846
25,23812.86194765587,149620.62431140724,151.07560853786424,-3.834363792523876,151.1242596037427,-0.02537498160814964
26,17056.269831425252,107167.70400010158,151.48587458278445,-5.056192434271765,151.5702321699201,-0.033364933151932286
27,12216.77348996793,76760.25169330758,152.07184904898853,-6.649002703185165,152.21713605939811,-0.04369494205811129
28,8750.421749906795,54980.52137063906,152.91875757601116,-8.708996580321678,153.1665532680909,-0.056890332524842005
29,6267.602560047386,39380.5083165309,154.15549459939865,-11.341683591715597,154.5721524139449,-0.07344068855546051
30,4489.251258218607,28206.797545876623,155.9735964432902,-14.645985163377308,156.65971935650919,-0.09362588185770787
31,3215.4841769777026,20203.482936254746,158.64667748498243,-18.67945127556596,159.74257471626115,-0.11720284974220085
32,2303.1320587069963,14471.005511762072,162.53689951002775,-23.394627351007863,164.2119127567345,-0.14295246381578464
33,1649.6480740980207,10365.044541189785,168.0583401281764,-28.5449312485663,170.4653008287118,-0.16824565173049313
34,1181.5817326180995,7424.096981617841,175.55293933489938,-33.591397257125315,178.73784288395356,-0.1890609722898072
35,846.3231720621134,5317.605319826292,185.06083226339473,-37.70333817832699,188.86252499585407,-0.20098415474158635
36,606.1898993497572,3808.8034689550664,196.08171590852885,-39.97562905623304,200.11519240695984,-0.20111613081038948
37,434.19134227214533,2728.1046622689264,207.56369998522734,-39.849937132713286,211.35445829468244,-0.1896808963262413
38,310.9951549940195,1954.0401884624616,218.26855887943844,-37.45269775603267,221.45850257895185,-0.16993507076711759
39,222.75429519995564,1399.6065147115055,227.2877540058154,-33.53074481979445,229.7477616195166,-0.146469047301074
40,159.5506400444829,1002.4862372785938,234.3035315035167,-29.05147144943289,236.09771889706317,-0.12336115192165989
41,114.28020598100309,718.0437111212954,239.4868727729989,-24.826630078649316,240.77027181870412,-0.10329695613661034
42,81.85467307069021,514.3080791617493,243.2445789647909,-21.37071415218506,244.18155667276102,-0.08763188817495243
43,58.62946645916402,368.37980222399773,246.02226883167657,-18.94452640090429,246.75058630455226,-0.07685164125931675
44,41.994112349794214,263.8567897042758,248.21822307730793,-17.658247617461893,248.84553437137623,-0.07102036524437111
45,30.078825180430957,188.99083243090715,250.176267901468,-17.558513555986544,250.79167932649372,-0.07006966836974068
46,21.54434690031882,135.3671238968633,252.21744242251137,-18.677475872649282,252.90805911857817,-0.07391814798880722
47,15.43141663868093,96.95845029312662,254.68639998469348,-21.04247695655669,255.55419811388444,-0.08243389402690034
48,11.052951411260198,69.44774190819994,257.99834046282535,-24.644030564886478,259.17266816555906,-0.09523118139874096
49,7.916819159263001,49.74284182107913,262.666210600877,-29.35380161176477,264.30131263481667,-0.11129148022234968
50,5.670523941381169,35.628952712496236,269.2645633087517,-34.79151408904432,271.5029548761135,-0.1284974699051077
51,4.061585988376979,25.519697406016714,278.2620177487869,-40.187318222415364,281.14901932522525,-0.14343084460858183
52,2.9091634056238775,18.278812766400474,289.6931762449275,-44.38440910000941,293.0735609604381,-0.15202956959811872
53,2.0837258511429577,13.09243565209171,302.8286958085887,-46.17147808572569,306.32829512428555,-0.15130209162761094
54,1.4924955450518291,9.377626079700642,316.2181915101395,-44.895760598304236,319.38937672008365,-0.1410345648262288
55,1.0690192046030011,6.716845759454385,328.2824268666542,-40.87243287518926,330.8170303333808,-0.1238664683561434
56,0.7656988080124189,4.811027500228553,338.0159909280932,-35.16068634114977,339.83979164759603,-0.10364801558875728
57,0.5484416576121004,3.4459605649535665,345.21828473256573,-28.946961749351452,346.4297774559994,-0.08365548861502146
