Date:, 200308
Serial number:, 0016
Data Source:, simulation
Circuit type:, rc
Circuit configuration:, parallel
Circuit elements:, [R=160.0 ohm C=1e-05 F]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
0,100000000.0,628318530.7179586,1.5831434944099616e-10,-0.00015915494309173784,0.00015915494309181658,-1.5707953320765022
1,71626291.1569279,450041260.2049765,3.0858538473055924e-10,-0.00022220184867996544,0.0002222018486801797,-1.5707949380333424
2,51303255.84896997,322347863.3607233,6.014927895384058e-10,-0.00031022386485533816,0.0003102238648559213,-1.5707943878957413
3,36746619.40736688,230885819.1488878,1.172426154213241e-09,-0.0004331145168113671,0.00043311451681295394,-1.5707936198291665
4,26320240.607048776,165374949.0636404,2.2852860599267853e-09,-0.0006046865052099832,0.0006046865052143016,-1.570792547504239
5,18852212.170408722,118451942.51694426,4.454465943883521e-09,-0.0008442242302857228,0.0008442242302974745,-1.5707910503934572
6,13503140.378698722,84842733.2282232,8.682618422657575e-09,-0.0011786513256895885,0.001178651325721569,-1.5707889602241107
7,9671798.642975444,60769703.12754277,1.6924107989892112e-08,-0.0016455568291907493,0.0016455568292777793,-1.5707860420647135
8,6927550.656129393,43527084.4973345,3.2988370246939515e-08,-0.002297420126668627,0.002297420126905465,-1.570781967919103
9,4961947.603002898,31176836.274182778,6.430073431907926e-08,-0.0032075095458810555,0.0032075095465255716,-1.5707762798602294
10,3554059.0371810608,22330811.523264866,1.2533460738601812e-07,-0.004478117591807313,0.004478117593561261,-1.5707683385599331
11,2545640.673860415,15994732.0793585,2.4430146823779514e-07,-0.006252058449691911,0.006252058454464996,-1.5707572514295463
12,1823348.0008684385,11456433.368931845,4.761909626221746e-07,-0.008728720054669533,0.008728720067658713,-1.5707417722944468
13,1305996.547906052,8205818.321030567,9.281885786718581e-07,-0.012186474950778969,0.012186474986126928,-1.5707201613261597
14,935436.8899026163,5877523.322429887,1.8092196259303743e-06,-0.01701396887488584,0.017013968971079613,-1.570689989488627
15,670018.750350959,4209851.967739973,3.526520055253197e-06,-0.02375380383021144,0.023753804091987275,-1.5706478655187763
16,479909.5809323878,3015360.8276890917,6.8738716931663285e-06,-0.03316352550101543,0.03316352621339614,-1.5705890547545787
17,343741.43372862396,2159791.1258725356,1.3398509118198264e-05,-0.04630076974945099,0.04630077168808013,-1.5705069469678072
18,246209.24014946254,1546978.2801989533,2.6116291902887782e-05,-0.06464213813296511,0.06464214340863123,-1.5703923133876017
19,176350.5472047139,1108043.1671097383,5.090571236545219e-05,-0.09024916280542883,0.09024917716230077,-1.570232269407722
20,126313.35639768369,793650.2250184647,9.922508064981865e-05,-0.12600001213632622,0.12600005120622368,-1.5700088263934622
21,90473.57242349294,568462.220939339,0.00019340882093956172,-0.1759129726408995,0.17591307896324784,-1.5696968698298714
22,64802.86440412508,407168.4054871497,0.00037699088649211594,-0.24559804501789106,0.24559833435660458,-1.5692613366023787
23,46415.888336127726,291639.62761324603,0.0007348267417366016,-0.34288735571250784,0.3428881430989649,-1.5686532742601382
24,33245.97932270938,208890.64880324394,0.001432313653854431,-0.47871508550943526,0.4787172282430505,-1.5678043396543413
25,23812.86194765587,149620.62431140724,0.0027918334999912,-0.6683453939874953,0.6683512250296186,-1.5666191194904147
26,17056.269831425252,107167.70400010158,0.0054417350613737816,-0.9330852036868481,0.9331010715993231,-1.564964412039025
27,12216.77348996793,76760.25169330758,0.010606655078829005,-1.302671221560022,1.3027144017829237,-1.5626542718237628
28,8750.421749906795,54980.52137063906,0.020673127926378362,-1.8185909628067212,1.8187084615794082,-1.5594291541145895
29,6267.602560047386,39380.5083165309,0.04029099613640131,-2.5386878534893857,2.5390075584417247,-1.554926863469103
30,4489.251258218607,28206.797545876623,0.0785162017939509,-3.5435049729170687,3.544374738516251,-1.5486421724896242
31,3215.4841769777026,20203.482936254746,0.1529720582300745,-4.9449093890801255,4.947274938469857,-1.5398709292587947
32,2303.1320587069963,14471.005511762072,0.2979018763393082,-6.897503511152628,6.903933676846071,-1.5276333401433302
33,1649.6480740980207,10365.044541189785,0.5796441584201559,-9.612860032104615,9.63032010616599,-1.5105704245768299
34,1181.5817326180995,7424.096981617841,1.1259670504655686,-13.374861729220113,13.422173001212991,-1.486809041205747
35,846.3231720621134,5317.605319826292,2.1801652769123665,-18.54921355937562,18.67689600297594,-1.4537989921425187
36,606.1898993497572,3808.8034689550664,4.195304130068471,-25.566542278282093,25.908466971454626,-1.4081522832838913
37,434.19134227214533,2728.1046622689264,7.978879537387415,-34.827549545005986,35.729829638300636,-1.3455859459103428
38,310.9951549940195,1954.0401884624616,14.849492464975931,-46.42640808773356,48.74339744412724,-1.2612293408607116
39,222.75429519995564,1399.6065147115055,26.60113966338693,-59.56980539460315,65.239423251144,-1.1508117225476808
40,159.5506400444829,1002.4862372785938,44.78348830221236,-71.83172908847166,84.64843842832529,-1.013312426798732
41,114.28020598100309,718.0437111212954,68.96842658030808,-79.23575195507358,105.04736195092808,-0.8545658932917706
